# time-series file = timeseries_ERA5_demErr.h5
# Y/X = 1014, 930, lat/lon = 10.392411, -75.532970
# reference pixel: y=779, x=890
# reference date: 20210716
# estimated time function parameters:
#     velocity:  0.54 +/-  0.10 cm/year
# unit: cm
20190116	-2.3533134
20190209	-3.7911918
20190329	-2.2506514
20190410	-3.2079802
20190528	-2.306044
20190621	-2.657264
20190727	-1.2056092
20190808	-3.1604986
20190901	-2.925067
20191007	-3.1127353
20191124	-3.6635075
20191206	-3.185084
20200123	-4.3991265
20200216	-3.7767713
20200323	-4.4735165
20200416	-4.342739
20200522	-4.2784424
20200603	-2.8266623
20200721	-4.453752
20200814	-3.32127
20200919	-3.4833198
20201013	-2.0136166
20201130	-2.8903441
20201212	-2.4574301
20210117	-3.33049
20210222	-3.676861
20210330	-2.6526022
20210423	-0.5996316
20210517	-0.9051522
20210610	-0.30141354
20210716	0.0
20210821	-0.24908213
20210902	-1.6072344
20211008	-1.1193669
20211101	-0.77984357
20211219	-1.6142336
20220223	-2.1850705
20220331	-2.5582607
20220412	-1.804885
20220530	-0.8529776
20220623	0.82464284
20220729	-1.4128455
20220810	-0.9244578
20220927	8.230563e-06
20221009	-1.0242865
20221114	-1.9993352
20221220	-2.9348838
20230101	-3.4471169
20230206	-2.3986118
20230326	-2.2998137
20230407	-1.4873992
20230513	-2.5533943
20230618	-0.6438328
20230712	-1.545984
20230817	-2.4472766
20230910	0.9145596
20231016	1.0498852
20231121	-1.0282997
20231203	-0.9934412
20240108	-0.5103743
