Escenario,N_Bruto,Media_Bruta,Limite_Inf_IQR,Limite_Sup_IQR,N_Outliers,N_Filtrado,Media_Filtrada,Std_Filtrada
CASTILLO,215844,-23.598825879545366,-23.058696612843704,14.692914542350016,36367,179477,-3.224891618256765,6.265985469086767
CERRO,215849,-23.206252828756146,-22.65706738155035,15.078468685300273,36377,179472,-2.8317959317542436,6.2638115461760595
PAPER,215844,-23.598825879545366,-23.058696612843704,14.692914542350016,36367,179477,-3.224891618256765,6.265985469086767
